Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered
SA,0.0,1.0,0,2021-11-25,1
TAS,0.0,3.0,2,2021-11-25,3
VIC,19.0,49.0,5,2021-11-25,68
WA,0.0,0.0,1,2021-11-25,0
Australia,36.0,76.0,10,2021-11-26,112
ACT,0.0,0.0,0,2021-11-26,0
NT,0.0,0.0,0,2021-11-26,0
QLD,0.0,8.0,0,2021-11-26,8
SA,0.0,1.0,0,2021-11-26,1
TAS,0.0,3.0,2,2021-11-26,3
VIC,19.0,49.0,5,2021-11-26,68
WA,0.0,0.0,1,2021-11-26,0
NSW,17.0,15.0,2,2021-11-26,32
VIC,19.0,49.0,5,2021-11-27,68
TAS,0.0,3.0,2,2021-11-27,3
WA,0.0,0.0,1,2021-11-27,0
Australia,36.0,76.0,10,2021-11-27,112
ACT,0.0,0.0,0,2021-11-27,0
NSW,17.0,15.0,2,2021-11-27,32
NT,0.0,0.0,0,2021-11-27,0
QLD,0.0,8.0,0,2021-11-27,8
SA,0.0,1.0,0,2021-11-27,1
Australia,36.0,76.0,10,2021-11-28,112
VIC,19.0,49.0,5,2021-11-28,68
NSW,17.0,15.0,2,2021-11-28,32
ACT,0.0,0.0,0,2021-11-28,0
TAS,0.0,3.0,2,2021-11-28,3
SA,0.0,1.0,0,2021-11-28,1
WA,0.0,0.0,1,2021-11-28,0
QLD,0.0,8.0,0,2021-11-28,8
NT,0.0,0.0,0,2021-11-28,0
ACT,0.0,0.0,0,2021-11-29,0
WA,0.0,0.0,1,2021-11-29,0
VIC,19.0,49.0,5,2021-11-29,68
TAS,0.0,3.0,2,2021-11-29,3
SA,0.0,1.0,0,2021-11-29,1
QLD,0.0,8.0,0,2021-11-29,8
NT,0.0,0.0,0,2021-11-29,0
NSW,17.0,15.0,2,2021-11-29,32
Australia,36.0,76.0,10,2021-11-29,112
WA,0.0,0.0,1,2021-11-30,0
Australia,37.0,76.0,11,2021-11-30,113
NSW,16.0,15.0,3,2021-11-30,31
ACT,0.0,0.0,0,2021-11-30,0
VIC,21.0,49.0,5,2021-11-30,70
TAS,0.0,3.0,2,2021-11-30,3
SA,0.0,1.0,0,2021-11-30,1
QLD,0.0,8.0,0,2021-11-30,8
NT,0.0,0.0,0,2021-11-30,0
NSW,16.0,15.0,3,2021-12-01,31
NT,0.0,0.0,0,2021-12-01,0
QLD,0.0,8.0,0,2021-12-01,8
SA,0.0,1.0,0,2021-12-01,1
TAS,0.0,3.0,2,2021-12-01,3
VIC,21.0,49.0,5,2021-12-01,70
WA,0.0,0.0,1,2021-12-01,0
Australia,37.0,76.0,11,2021-12-01,113
ACT,0.0,0.0,0,2021-12-01,0
WA,0.0,0.0,1,2021-12-02,0
VIC,21.0,49.0,5,2021-12-02,70
Australia,37.0,76.0,11,2021-12-02,113
ACT,0.0,0.0,0,2021-12-02,0
NSW,16.0,15.0,3,2021-12-02,31
NT,0.0,0.0,0,2021-12-02,0
TAS,0.0,3.0,2,2021-12-02,3
